Book Name,Price,URL
Barcelona Interiors,169,ground-image:url(/_nuxt/img/white-background.fdee24d.jpg)
ქართული ფილმი - GEORGIAN FILM,99.95,https://apiv1.biblusi.ge/storage/book/jkxucPWt9xltONmaVBftU14ILbLujJjC1vhyUXFj.jpg
წარსული ხელოვნების ენით,19.95,https://apiv1.biblusi.ge/storage/book/8mFEQa13s3mKi5h9XtNYKY97oKdqGWDh1kYBw81y.jpg
Artist's Drawing Techniques,94.95,https://apiv1.biblusi.ge/storage/book/Ypn4zmhcdcobT43tJXQ3TkHkg5GY6KXiAdZkQuz3.jpg
შოკოლადის ოქროს წიგნი,50,https://apiv1.biblusi.ge/storage/book/lVobdR4AMYJNyXNymHfYawDVDkWBZBerOdQqtS4d.jpg
თბილისი კომენტარით,39.9,https://apiv1.biblusi.ge/storage/book/nI05rkIyBqB0A4ZqRzKe4pS6noYU9ZpFK2h1GrgK.webp
ყველაფერი ფიტნესის შესახებ,29.9,https://apiv1.biblusi.ge/storage/book/qb48sEBt4bEBep3LqgkWMqBCe9hwOGrr86B9ZrOi.jpg
კოქტეილები,25,https://apiv1.biblusi.ge/storage/book/TRESDeSUqafrFCmTtSMyL63H6BTZvcKjkY1MKQHu.jpg
"პიცა, ბურგერი და ნაჩოსი",25,https://apiv1.biblusi.ge/storage/book/eSjFbtjTi8i2elYbEtDvsj0lRhOaHzZ1qCBoA4HO.png
დიეტური კერძები,25,https://apiv1.biblusi.ge/storage/book/W5fYA0d0QUcR3rfMVqVXkdZldNljOh4v3bkMAcCI.jpg
სიესტა - ბანქოს კარტი,25,https://apiv1.biblusi.ge/storage/book/BNS3assF52oZu4gihNtv80jEzNvoxmgt3GTKhXyR.png
საქართველოს ისტორიის პალიტრა 7ტ,20,https://apiv1.biblusi.ge/storage/book/YeNOb0pkVbnQClt5Gm1O2eYIaxhLwYo6vEetBiA3.png
ჰარვარდის სამედიცინო გზამკვლევი მთელი ოჯახისთვის 3ტ,9.95,https://apiv1.biblusi.ge/storage/book/1MY3CfKNq22Pk8P3T2WcDzJU8obCZ3lUQrWtl0Ix.jpg
ჰარვარდის სამედიცინო გზამკვლევი მთელი ოჯახისთვის,9.95,https://apiv1.biblusi.ge/storage/book/ZSfjC2Bnuvr7Cb917GdmhUZD9eVpRB6QrJkirW02.jpg
ნაყინი და შარბათი,25,https://apiv1.biblusi.ge/storage/book/hq3vVoKwn9eac8rIXJbgvU4bDK6vaiIxhXbQ6nGr.jpg
მეფრინველეობა,30,https://apiv1.biblusi.ge/storage/book/zZq8hJ2rkN7TtekJrntj6y1SMQ7bNG2EDnOMMdh4.jpg
ჰარვარდის სამედიცინო წიგნი,80,https://apiv1.biblusi.ge/storage/book/cdxFgPFkxbcJfZ3tChHizDMr0HYwUoEy0cwExmVi.jpg
რაფაელო სანციო,25,https://apiv1.biblusi.ge/storage/book/OnrbZy4eJSjwFIs9drBLRtGIpdMWJoiKtlUKLfwO.jpg
ამადეო მოდილიანი,25,https://apiv1.biblusi.ge/storage/book/2KqzhrdE3vXJkCau8mogdeqWA7Vqc0Y13QTlGQXj.png
ლეონარდო და ვინჩი,25,https://apiv1.biblusi.ge/storage/book/ccBYgCn0rq9vmpykfXNUCIGHKx1CC9RviwlGBuvH.jpg
ედვარდ მუნკი,25,https://apiv1.biblusi.ge/storage/book/8t3jvEOe7Q6CGxzeqA1OJdaYsEY7FJvMqNIMp6jY.png
დედის სახელმძღვანელო - ჩანასახიდან ზრდასრულობამდე,24.95,https://apiv1.biblusi.ge/storage/book/xtw1iJYsDZX5VsJ3Di8XPJDIQiBS3USOxTB0luyu.jpg
კერძები გრილზე,25,https://apiv1.biblusi.ge/storage/book/3owjmbMAF6cWnp319KC4zFu4OHhG7vyjDu3CynPI.png
ანრი მატისი,25,https://apiv1.biblusi.ge/storage/book/UF7JyKQ2L1Skc3xSXvf1v2GBFFJdomsiX7i7dEE8.jpg
ანრი მატისი,25,https://apiv1.biblusi.ge/storage/book/04L90PTJB8ppOWb4zJhRGYWJNNmqZAQgw1VuNNyf.jpg
აზიური სამზარეულო,35,ground-image:url(/_nuxt/img/white-background.fdee24d.jpg)
სოფლის მეურნეობა - პური ჩვენი არსობისა,29.95,https://apiv1.biblusi.ge/storage/book/04L90PTJB8ppOWb4zJhRGYWJNNmqZAQgw1VuNNyf.jpg
ფოტოამბავი - ტფილისი,130,https://apiv1.biblusi.ge/storage/book/w7DOkZ7CC5VI8rP7FEpSp2UYifcF6unMzvGut5Yv.jpg
ფინანსების ასტროლოგია,8.95,https://apiv1.biblusi.ge/storage/book/itAOAPtIezz6fRiFwxlz9qtq18iUaS71Enhnzf4p.jpg
სპაგეტი - 100-ზე მეტი რეცეპტი,17.99,https://apiv1.biblusi.ge/storage/book/ZaZVf0sNAyHU9GryUPz0Sf3qWUyxXxhbW1bLxCnW.jpg
საბავშვო ასტროლოგია,8.95,https://apiv1.biblusi.ge/storage/book/DOJDd0BPVvtbpVoSFczb402lzz5FaM7f4i3R5bCT.jpg
მწვანე მეურნის ენციკლოპედია,29.95,https://apiv1.biblusi.ge/storage/book/2NmjRVsFfrIBLWSgmWw8u55TcDapbJLSsLwnvhtc.png
არგენტინული სამზარეულო,15,https://apiv1.biblusi.ge/storage/book/x6Zyb7dR7n7F8zmGF5Ol0QUTeyrIhe0sQ8wKAOM9.jpg
პიცა 100 %-ით იტალიური,22.95,https://apiv1.biblusi.ge/storage/book/chH5hF7wGZMMjDBPUhVU9JT1vXzEtDZdorLekMpg.jpg
ქართული სამზარეულო,20,https://apiv1.biblusi.ge/storage/book/KbnuQzzXTkK3rhyMzIgg9HtfsoVKavy0e8ULHHbe.jpg
ჩინური სამზარეულო,15,https://apiv1.biblusi.ge/storage/book/gJ1F18kW4x0yQW4qBdQFORJPJKfq7JBqmjhvUwbi.jpg
ქართული სამზარეულო,20,https://apiv1.biblusi.ge/storage/book/wkrOdaoeD8ffuqFYfORznVTffxNony1CAH7eWCXr.jpg
2000 მცენარეული სამკურნალო რეცეპტი,29.95,https://apiv1.biblusi.ge/storage/book/QUu629Y1PejM1lNbmGpMtgvxPj3b2ZZUFF7xK4Nr.jpg
თბილისი - ინგლისურენოვანი,22.99,https://apiv1.biblusi.ge/storage/book/iPQNZMZ5eOW0vHJMBwNyBt6l36oPFZ66f0Lg3UGn.jpg
ინტელექტუალური საკუთრება,19.9,https://apiv1.biblusi.ge/storage/book/frLpa5M5QkVc4TcerJwsoPVv0mFT2tu5DLN1jYHy.png
მუნიციპალური სამართალი,37,https://apiv1.biblusi.ge/storage/book/GbQaPt9QpLpSrwAgyHX6WB28DpzyOJhesRCNN3oq.png
ჟანრი ლოლაშვილი - არტ კატალოგი,139.95,https://apiv1.biblusi.ge/storage/book/bO8TaaYdnxHePyUXJl8kflfSLz375lKZmPM8fjYt.jpg
ქართველი გურმანი,19.9,https://apiv1.biblusi.ge/storage/book/dKjqdvSCPPBLoFkVgUvalZik5pK9TfyAYfDPUtuO.png
დიდი მხატვრები - პიკასო,25,https://apiv1.biblusi.ge/storage/book/QVyDR7QZ28ITzV7bVznjqC5xRAKaLRPoCft83kkZ.jpg
ჰარვარდის სამედიცინო გზამკვლევი მთელი ოჯახისთვის 2ტ,9.95,https://apiv1.biblusi.ge/storage/book/jUvNpPuKyyxYOBExLDanJbjXa0MFYe5vp4xq2hVX.png
ზოდიაქო - ვერძი,2.5,https://apiv1.biblusi.ge/storage/book/XHGT2As9qk3NkXuZuGiRpMnvfxImtajVMlj3Toss.png
ჯანმრთელობის ენციკლოპედია ყველა თაობისთვის,130,https://apiv1.biblusi.ge/storage/book/phBRPyGgx81lLg93CiPhhxZ7aydkI5lVgczCgScu.jpg
ზოგადი ადმინისტრაციული სამართალი (მეორე გამოცემა),24.95,https://apiv1.biblusi.ge/storage/book/IlB1uV8cFabYhxhX7aiNvy5yNpHBiuq3S9lbH8ss.jpg
ლინდასეული კულინარია,34.95,https://apiv1.biblusi.ge/storage/book/85BoibpS52ScnVwViKInFvt6jqTl94OKXGwmtFoc.png
ალბომით შემოპარული თავისუფლება,11.7,https://apiv1.biblusi.ge/storage/book/6mXXLU6ZNmN1d7nrPiwfRBhHX7OkR3W0hBBPfwHj.png
64 ამბავი ფოტოგრაფიაზე,14.9,ground-image:url(/_nuxt/img/white-background.fdee24d.jpg)
Be My Guest,45.9,https://apiv1.biblusi.ge/storage/book/ssCK5eOXHXG4YIzErxBV8EFqUkBhXkjBtUYKWEHT.jpg
ძალიან მოკლე შესავალი - სამართალი,12.9,https://apiv1.biblusi.ge/storage/book/sCtHCjaDqaVzTJ7vNwMLI89FCNWVpNGE3J5WBJIe.jpg
იაპონური სამზარეულო,15,https://apiv1.biblusi.ge/storage/book/tAgV28Rlslgz6MGRnSk7SVBbhvz6yuvThrpbIMnB.jpg
ქართული სამზარეულო,20,https://apiv1.biblusi.ge/storage/book/TPyHZV5EL9KNBgUW6NnfSZ9lMmR4UihtvNnqRSaI.jpg
ხელოვნების ამბავი,74.9,https://apiv1.biblusi.ge/storage/book/pAePVXanJfrMoM2y3OTdo9SuQdixtn8skHw5Vd4z.jpg
Georgian Cuisine,27.9,https://apiv1.biblusi.ge/storage/book/dtPF25kffTvkTEfobZdA7X3rLsrCQxi2zW5JVlaE.jpg
ვან გოგი,25,https://apiv1.biblusi.ge/storage/book/wO1SBHO34D33MI2Za63QzN6MANa1Nm3uNcF7CsP3.jpg
Taste of Georgia,32.9,https://apiv1.biblusi.ge/storage/book/TCMtSydCUkTt3f04uZFqZv6Yt3jzFTZi7fnq0xQD.jpg
